BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),assembly
35,1019.3,557,400,1,0.0113009,0.00975436,0.00154651,0.00428493,0.236341,0.0166331,1.41039,1
35,1019.3,557,400,2,0.0875277,0.0495093,0.0380184,0.105802,0.949074,0.00167108,0.35122,1
0,1019.3,557,600,1,0.00902868,0.00673617,0.00229251,0.00587951,0.237091,0.0174809,1.40593,1
0,1019.3,557,600,2,0.0770662,0.0302994,0.0467668,0.113957,0.917054,0.00155437,0.363483,1
0.1,1019.3,557,600,1,0.00906235,0.00677032,0.00229203,0.00587851,0.23739,0.0176008,1.40416,1
0.1,1019.3,557,600,2,0.0793102,0.0329846,0.0463257,0.112937,0.916246,0.00159516,0.363803,1
0.5,1019.3,557,600,1,0.00907643,0.00679579,0.00228063,0.00585706,0.237402,0.0176154,1.40409,1
0.5,1019.3,557,600,2,0.0805532,0.0340149,0.0465384,0.113937,0.917583,0.00161708,0.363273,1
1,1019.3,557,600,1,0.00910013,0.00683397,0.00226616,0.00582985,0.237368,0.0176046,1.40429,1
1,1019.3,557,600,2,0.0817255,0.0348433,0.0468823,0.115377,0.919328,0.0016374,0.362584,1
2,1019.3,557,600,1,0.00917357,0.00693818,0.0022354,0.00576945,0.237314,0.0175628,1.40461,1
2,1019.3,557,600,2,0.0836202,0.0362238,0.0473964,0.117705,0.92242,0.00166957,0.361368,1
3,1019.3,557,600,1,0.00926949,0.00706515,0.00220435,0.00570702,0.23728,0.0175087,1.40481,1
3,1019.3,557,600,2,0.0852042,0.0374621,0.0477421,0.119501,0.925086,0.00169587,0.360327,1
4,1019.3,557,600,1,0.00937367,0.00720053,0.00217315,0.00564319,0.237255,0.0174509,1.40496,1
4,1019.3,557,600,2,0.0865181,0.0385672,0.0479509,0.120863,0.927404,0.00171716,0.359426,1
5,1019.3,557,600,1,0.00948095,0.0073376,0.00214335,0.00558196,0.237234,0.0173919,1.40508,1
5,1019.3,557,600,2,0.0876176,0.0395645,0.0480531,0.121883,0.92944,0.0017345,0.358639,1
6,1019.3,557,600,1,0.009587,0.00747236,0.00211465,0.00552275,0.237214,0.0173345,1.4052,1
6,1019.3,557,600,2,0.0885425,0.0404726,0.0480699,0.122626,0.931243,0.00174868,0.357945,1
7,1019.3,557,600,1,0.00968949,0.00760267,0.00208682,0.00546503,0.237195,0.0172803,1.40532,1
7,1019.3,557,600,2,0.0893225,0.0413052,0.0480173,0.123142,0.93285,0.00176025,0.357328,1
8,1019.3,557,600,1,0.00978745,0.00772753,0.00205992,0.00540904,0.237174,0.0172297,1.40543,1
8,1019.3,557,600,2,0.0899798,0.0420727,0.0479071,0.123466,0.934291,0.00176963,0.356777,1
